Gene Name,Resistance Group,Set Effect,Effect,Resistance Profile,PID Threshold,Coverage Threshold,Source
mcr-8_1_MG736312,mcr-8_1_MG736312,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet_1_M74049 ,tet_1_M74049 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(47)_1_KR857681 ,tet(47)_1_KR857681 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(48)_1_KR857682 ,tet(48)_1_KR857682 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(49)_1_KR857683 ,tet(49)_1_KR857683 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(50)_1_KR857684 ,tet(50)_1_KR857684 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(51)_1_KR857685 ,tet(51)_1_KR857685 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(52)_1_KR857686 ,tet(52)_1_KR857686 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(53)_1_KR857687 ,tet(53)_1_KR857687 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(54)_1_KR857688 ,tet(54)_1_KR857688 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(55)_1_KR857689 ,tet(55)_1_KR857689 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(O)_4_AIOQ01000025 ,tet(O)_4_AIOQ01000025 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
otr(B)_1_AF079900 ,otr(B)_1_AF079900 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(39)_1_KT346360 ,tet(39)_1_KT346360 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(33)_1_AY255627 ,tet(33)_1_AY255627 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(33)_2_DQ390458 ,tet(33)_2_DQ390458 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(32)_1_EU722333 ,tet(32)_1_EU722333 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(32)_2_EF626943 ,tet(32)_2_EF626943 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(31)_1_GQ283908 ,tet(31)_1_GQ283908 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(31)_2_AJ250203 ,tet(31)_2_AJ250203 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(44)_1_NZ_ABDU01000081 ,tet(44)_1_NZ_ABDU01000081 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(44)_2_FN594949 ,tet(44)_2_FN594949 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(40)_1_FJ158002 ,tet(40)_1_FJ158002 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(40)_2_AM419751 ,tet(40)_2_AM419751 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(37)_1_AF540889 ,tet(37)_1_AF540889 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(34)_1_AB061440 ,tet(34)_1_AB061440 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
otr(A)_1_X53401 ,otr(A)_1_X53401 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(36)_1_AJ514254 ,tet(36)_1_AJ514254 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(T)_1_L42544 ,tet(T)_1_L42544 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(T)_2_AY660530 ,tet(T)_2_AY660530 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(41)_1_AY264780 ,tet(41)_1_AY264780 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(42)_1_EU523697 ,tet(42)_1_EU523697 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(43)_1_GQ244501 ,tet(43)_1_GQ244501 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(45)_1_JF837331 ,tet(45)_1_JF837331 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tetA(46)_1_HQ652506 ,tetA(46)_1_HQ652506 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tetB(46)_1_HQ652506 ,tetB(46)_1_HQ652506 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(57)_1_KP137702 ,tet(57)_1_KP137702 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(59)_1_KU736878 ,tet(59)_1_KU736878 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tetA(60)_1_KX000272 ,tetA(60)_1_KX000272 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tetB(60)_1_KX000273 ,tetB(60)_1_KX000273 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
otr(C)_1_AY509111 ,otr(C)_1_AY509111 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tcr3_1_D38215 ,tcr3_1_D38215 ,RESISTANT,RESISTANCE,"",95.0,0.4,ResFinder
tet(30)_1_AF090987 ,tet(30)_1_AF090987 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(35)_1_AF353562 ,tet(35)_1_AF353562 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(A)_1_AJ313332 ,tet(A)_1_AJ313332 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(A)_2_X00006 ,tet(A)_2_X00006 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(A)_3_AY196695 ,tet(A)_3_AY196695 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(A)_4_AJ517790 ,tet(A)_4_AJ517790 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(A)_5_AJ419171 ,tet(A)_5_AJ419171 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(A)_6_AF534183 ,tet(A)_6_AF534183 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(G)_1_AF133139 ,tet(G)_1_AF133139 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(G)_2_AF133140 ,tet(G)_2_AF133140 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(G)_3_S52437 ,tet(G)_3_S52437 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(E)_1_Y19116 ,tet(E)_1_Y19116 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(E)_2_L06940 ,tet(E)_2_L06940 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(E)_3_CP000645 ,tet(E)_3_CP000645 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(D)_1_AF467077 ,tet(D)_1_AF467077 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(D)_2_X65876 ,tet(D)_2_X65876 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(C)_1_NC_003123 ,tet(C)_1_NC_003123 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(C)_2_AY046276 ,tet(C)_2_AY046276 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(C)_3_AF055345 ,tet(C)_3_AF055345 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(B)_1_AP000342 ,tet(B)_1_AP000342 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(B)_2_AF326777 ,tet(B)_2_AF326777 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(B)_3_AJ277653 ,tet(B)_3_AJ277653 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(H)_1_Y16103 ,tet(H)_1_Y16103 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(H)_2_AJ245947 ,tet(H)_2_AJ245947 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(H)_3_Y15510 ,tet(H)_3_Y15510 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(H)_4_U00792 ,tet(H)_4_U00792 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(O)_1_M18896 ,tet(O)_1_M18896 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(O)_2_M20925 ,tet(O)_2_M20925 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(O)_3_Y07780 ,tet(O)_3_Y07780 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_1_X92947 ,tet(M)_1_X92947 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_2_X90939 ,tet(M)_2_X90939 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_3_U08812 ,tet(M)_3_U08812 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_4_X75073 ,tet(M)_4_X75073 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_5_U58985 ,tet(M)_5_U58985 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_6_M21136 ,tet(M)_6_M21136 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_7_FN433596 ,tet(M)_7_FN433596 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_8_X04388 ,tet(M)_8_X04388 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_9_X56353 ,tet(M)_9_X56353 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_10_EU182585 ,tet(M)_10_EU182585 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_11_JN846696 ,tet(M)_11_JN846696 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_12_FR671418 ,tet(M)_12_FR671418 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(M)_13_AM990992 ,tet(M)_13_AM990992 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(L)_1_HM235948 ,tet(L)_1_HM235948 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(L)_2_M29725 ,tet(L)_2_M29725 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(L)_3_M11036 ,tet(L)_3_M11036 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(L)_4_D00006 ,tet(L)_4_D00006 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(L)_5_X08034 ,tet(L)_5_X08034 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(L)_6_D12567 ,tet(L)_6_D12567 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(L)_7_X60828 ,tet(L)_7_X60828 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(L)_8_AY081910 ,tet(L)_8_AY081910 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(K)_1_U38656 ,tet(K)_1_U38656 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(K)_2_J01764 ,tet(K)_2_J01764 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(J)_1_ACLE01000065 ,tet(J)_1_ACLE01000065 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(J)_2_AF038993 ,tet(J)_2_AF038993 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(S)_1_DQ377340 ,tet(S)_1_DQ377340 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(S)_2_L09756 ,tet(S)_2_L09756 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(S)_3_X92946 ,tet(S)_3_X92946 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(S)_4_AY534326 ,tet(S)_4_AY534326 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(Q)_1_L33696 ,tet(Q)_1_L33696 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(Q)_2_X58717 ,tet(Q)_2_X58717 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(Q)_3_U73497 ,tet(Q)_3_U73497 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(Q)_4_Z21523 ,tet(Q)_4_Z21523 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tetA(P)_1_AB054980 ,tetA(P)_1_AB054980 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tetA(P)_2_L20800 ,tetA(P)_2_L20800 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tetA(P)_3_AB001076 ,tetA(P)_3_AB001076 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(Z)_1_AF121000 ,tet(Z)_1_AF121000 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(Y)_1_EF495198 ,tet(Y)_1_EF495198 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(Y)_2_AB089606 ,tet(Y)_2_AB089606 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(X)_1_GU014535 ,tet(X)_1_GU014535 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(X)_2_M37699 ,tet(X)_2_M37699 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(X)_3_AB097942 ,tet(X)_3_AB097942 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(W)_1_DQ060146 ,tet(W)_1_DQ060146 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(W)_2_AY049983 ,tet(W)_2_AY049983 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(W)_3_AJ427421 ,tet(W)_3_AJ427421 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
tet(W)_4_FN396364 ,tet(W)_4_FN396364 ,RESISTANT,RESISTANCE,"Tetracycline",95.0,0.4,ResFinder
